Name,Status,Class,Gender,Race,Ability,Eyes,Strength,Intelligence,Attractiveness,Tech Skill,Cool,Credits,Credit Yield,Opened Vault,Rarity
Character #1,First Citizen,Club Owner,Male,Human,Revive,Scar,68,35,67,80,18,583,Mid,True,147
Character #2,First Citizen,Scavenger,Female,Human,None,Scar,68,83,30,67,80,440,Low,True,574
Character #3,First Citizen,Worker,Male,Human,None,Sad,97,93,46,33,67,294,Low,True,1163
Character #4,First Citizen,Worker,Male,Human,Hard Gut,Bloodshot,66,81,53,57,51,292,Low,True,273
Character #5,First Citizen,Cook,Female,Human,Locksmith,Suspicious,80,38,68,98,40,294,Low,True,324
Character #6,First Citizen,Cook,Female,Android,None,Tired,70,97,48,88,55,292,Low,True,875
Character #7,First Citizen,Grunt,Female,Android,None,Alien,63,36,23,13,20,299,Low,True,1734
Character #8,First Citizen,Chat Support,Male,Mutant,None,Scar,38,98,89,97,45,296,Low,True,852
Character #9,First Citizen,Driver,Female,Mutant,None,Suspicious,99,92,62,32,85,296,Low,True,856
Character #10,First Citizen,Club Promoter,Male,Human,None,Suspicious,14,51,32,63,56,437,Low,True,1515
Character #11,First Citizen,Assassin,Male,Ape,Weapon Check,Sad,73,79,92,85,79,872,Mid,True,102
Character #12,First Citizen,Bartender,Male,Ghost,Shield,Angry,59,61,44,88,51,295,Low,True,117
Character #13,First Citizen,Bartender,Male,Android,None,Alien,17,35,86,39,44,290,Low,True,1314
Character #14,First Citizen,Samurai,Female,Human,None,Skeptical,32,70,95,44,27,587,Mid,True,821
Character #15,First Citizen,Officer,Male,Albino,None,Tired,99,12,13,62,87,444,Low,True,685
Character #16,First Citizen,Grunt,Male,Albino,None,Focused,62,33,43,49,39,292,Low,True,1203
Character #17,First Citizen,Officer,Male,Human,None,Focused,20,10,39,87,93,444,Low,True,1461
Character #18,First Citizen,Builder,Male,Human,None,Suspicious,70,31,91,72,74,298,Low,True,1226
Character #19,First Citizen,Punk,Female,Human,None,Grumpy,80,38,22,94,19,444,Low,True,1103
Character #20,First Citizen,Assassin,Female,Android,None,Grumpy,52,89,50,82,83,874,Mid,True,229
Character #21,First Citizen,Market Whale,Female,Android,None,Alien,84,92,89,71,86,1457,High,True,86
Character #22,First Citizen,Cyberstreet Trader,Female,Human,None,Sad,50,33,89,82,66,585,Mid,True,822
Character #23,First Citizen,Officer,Male,Albino,None,Suspicious,44,20,77,89,77,440,Low,True,584
Character #24,First Citizen,Assistant,Female,Human,None,Bloodshot,40,13,92,19,78,294,Low,True,1817
Character #25,First Citizen,Builder,Female,Albino,None,Robot,60,66,50,92,29,290,Low,True,531
Character #26,First Citizen,Mercenary,Female,Human,None,Tired,95,91,14,52,59,581,Mid,True,666
Character #27,First Citizen,Mercenary,Female,Mutant,None,Paranoid,74,36,50,95,17,589,Mid,True,661
Character #28,First Citizen,Exectuive,Male,Mutant,None,Suspicious,80,72,88,51,92,875,Mid,True,248
Character #29,First Citizen,Scavenger,Female,Human,None,Skeptical,39,33,71,69,51,444,Low,True,802
Character #30,First Citizen,Assistant,Male,Human,None,Paranoid,13,22,29,47,20,291,Low,False,2010
Character #31,First Citizen,Corporate,Male,Android,None,Cyborg,14,84,42,19,85,435,Low,True,513
Character #32,First Citizen,Corporate,Male,Human,None,Robot,66,79,83,33,92,438,Low,True,441
Character #33,First Citizen,Cook,Female,Human,None,Robot,54,15,97,40,61,297,Low,True,1090
Character #34,First Citizen,Grunt,Male,Human,None,Tired,15,68,36,33,34,299,Low,True,1960
Character #35,First Citizen,Driver,Male,Ape,Dead Eye,Tired,86,52,78,57,80,298,Low,True,338
Character #36,First Citizen,Assistant,Male,Human,None,Suspicious,81,50,42,25,11,298,Low,True,1928
Character #37,First Citizen,Worker,Male,Human,None,Alien,83,52,17,50,41,297,Low,True,1290
Character #38,First Citizen,Architect,Male,Android,None,Angry,71,89,94,96,94,872,Mid,True,174
Character #39,First Citizen,Developer,Female,Human,None,Grumpy,39,73,21,31,10,442,Low,True,1767
Character #40,First Citizen,Driver,Male,Human,None,Tired,21,79,56,24,40,294,Low,True,1912
Character #41,First Citizen,Builder,Female,Human,None,Grumpy,36,86,40,67,71,291,Low,True,1453
Character #42,First Citizen,Celebrity,Male,Demon,Locksmith,Bloodshot,84,95,90,92,88,1451,High,True,39
Character #43,First Citizen,Corporate,Female,Human,None,Focused,11,83,35,52,11,436,Low,False,1356
Character #44,First Citizen,Builder,Female,Ape,Shield,Scar,12,92,88,62,40,294,Low,False,231
Character #45,First Citizen,Corporate,Male,Human,None,Sad,34,75,70,72,50,441,Low,True,743
Character #46,First Citizen,Grunt,Male,Human,None,Sad,36,15,44,74,12,291,Low,True,1977
Character #47,First Citizen,Bartender,Female,Human,None,Suspicious,69,22,13,26,83,299,Low,True,1926
Character #48,First Citizen,Chat Support,Male,Ghost,Locksmith,Alien,56,63,32,47,65,292,Low,False,121
Character #49,First Citizen,Corporate,Female,Human,None,Bloodshot,75,10,63,80,50,435,Low,True,860
Character #50,First Citizen,Assistant,Female,Albino,None,Bloodshot,23,70,93,76,94,298,Low,True,599
Character #51,First Citizen,Cyberstreet Trader,Male,Mutant,None,Scar,30,25,34,16,14,580,Mid,True,1766
Character #52,First Citizen,Assistant,Female,Human,None,Bloodshot,70,94,61,38,66,299,Low,True,1287
Character #53,First Citizen,Club Promoter,Female,Human,None,Cyborg,90,42,85,38,57,444,Low,True,524
Character #54,First Citizen,Cyberstreet Trader,Female,Human,None,Robot,16,89,15,58,44,587,Mid,True,888
Character #55,First Citizen,Worker,Female,Human,None,Sad,93,65,44,74,34,294,Low,True,1350
Character #56,First Citizen,Punk,Female,Human,None,Tired,10,86,35,88,17,437,Low,True,1218
Character #57,First Citizen,Cook,Male,Mutant,None,Bloodshot,86,28,72,99,19,299,Low,True,1131
Character #58,First Citizen,Corporate,Female,Human,None,Suspicious,50,68,51,41,13,435,Low,True,1165
Character #59,First Citizen,Driver,Male,Mutant,None,Sad,56,20,15,30,25,295,Low,True,1979
Character #60,First Citizen,Club Promoter,Male,Mutant,None,Angry,89,87,86,39,55,440,Low,True,542
Character #61,First Citizen,Bartender,Female,Mutant,None,Suspicious,54,69,73,85,22,296,Low,True,1179
Character #62,First Citizen,Developer,Female,Ape,Weapon Check,Skeptical,32,30,44,46,59,436,Low,True,358
Character #63,First Citizen,Club Promoter,Female,Human,None,Bloodshot,72,35,88,24,92,435,Low,True,908
Character #64,First Citizen,Tech Runner,Male,Human,None,Demon Eyes,10,29,10,16,75,585,Mid,True,413
Character #65,First Citizen,Punk,Female,Android,None,Bloodshot,98,17,65,20,70,440,Low,True,891
Character #66,First Citizen,Tech Runner,Male,Android,None,Paranoid,80,86,75,53,89,581,Mid,True,511
Character #67,First Citizen,Mercenary,Male,Albino,None,Alien,15,53,24,27,52,585,Mid,True,538
