ID;Credits;CreditSupplyProportion;AdditionalItem;CreditMultiplier;OpenedBy
1;438;0.000365;Knife;Medium High;516
2;585;0.000487;None;Low;0
3;296;0.000246;None;Low;0
4;292;0.000243;Wooden Cup;Low;4
5;443;0.000369;None;High;439
6;1454;0.001211;1st Edition Book;Low;1342
7;299;0.000249;Book;Medium;7
8;293;0.000244;None;High;888
9;296;0.000246;1 Bitcoin;Medium;0
10;437;0.000364;None;Low;10
11;294;0.000245;None;Medium;1918
12;442;0.000368;Newspaper;Medium;100
13;583;0.000485;Cyber Cat;Medium;145
14;295;0.000245;Wrench;Very High;12
15;588;0.000490;Gold Cake;Medium High;1441
16;437;0.000364;None;Very High;1494
17;587;0.000489;Wrench;High;1729
18;586;0.000488;None;Low;1151
19;292;0.000243;Wrench;Low;1307
20;874;0.000728;None;Low;20
21;293;0.000244;Cyber Penguin;Very High;694
22;297;0.000247;Newspaper;Low;1424
23;440;0.000366;None;Low;23
24;294;0.000245;Sushi Roll;Low;0
25;290;0.000241;None;Medium;0
26;585;0.000487;None;Low;1617
27;589;0.000490;Gold Cake;Low;27
28;295;0.000245;Sushi Roll;High;932
29;444;0.000370;Cyber Cat;Medium High;29
30;444;0.000370;Trash Basket;Low;1050
31;292;0.000243;None;Medium;1703
32;438;0.000365;Wrench;Very High;0
33;297;0.000247;None;Medium High;33
34;580;0.000483;Wrench;Low;260
35;442;0.000368;None;Medium;77
36;298;0.000248;Cup of Scotch;Medium High;737
37;297;0.000247;1st Edition Book;Low;37
38;872;0.000726;Wrench;Low;38
39;442;0.000368;None;Very High;39
40;294;0.000245;Cheat Codes;Low;40
41;291;0.000242;None;High;41
42;291;0.000242;Trash Basket;Low;1337
43;436;0.000363;None;Low;0
44;294;0.000245;None;Low;0
45;441;0.000367;None;Medium;0
46;291;0.000242;Gold Cake;Medium;46
47;295;0.000245;None;Medium High;1214
48;299;0.000249;None;Low;883
49;295;0.000245;None;Low;1713
50;581;0.000484;None;High;89
51;580;0.000483;Gold Cake;Low;51
52;587;0.000489;Wrench;Medium;1436
53;444;0.000370;None;Medium High;53
54;291;0.000242;None;Low;0
